Talker,Dialect,Target,Repetition,duration,F1,F2,F1_lob,F2_lob,Height,Backness
AT1,Mid-Atlantic,hid,5,0.145,384.0,2064.0,-0.704067720807435,1.1342495923384295,0.704067720807435,-1.1342495923384295
AT1,Mid-Atlantic,hod,1,0.246,658.0,1207.0,1.2980106906212687,-0.6571383839509676,-1.2980106906212687,0.6571383839509676
AT1,Mid-Atlantic,hod,2,0.217,688.0,1200.0,1.5172163561061633,-0.6717704911085239,-1.5172163561061633,0.6717704911085239
AT1,Mid-Atlantic,hod,3,0.246,687.0,1182.0,1.50990950059,-0.7093959095136688,-1.50990950059,0.7093959095136688
AT1,Mid-Atlantic,hod,4,0.229,705.0,1230.0,1.6414328998809369,-0.6090614604332825,-1.6414328998809369,0.6090614604332825
AT1,Mid-Atlantic,hod,5,0.257,707.0,1215.0,1.6560466109132632,-0.6404159757709031,-1.6560466109132632,0.6404159757709031
AT1,Mid-Atlantic,hoed,1,0.225,479.0,1060.0,-0.009916446771935528,-0.9644126342596506,0.009916446771935528,0.9644126342596506
AT1,Mid-Atlantic,hoed,2,0.262,472.0,1056.0,-0.061064435385077595,-0.9727738383496828,0.061064435385077595,0.9727738383496828
AT1,Mid-Atlantic,hoed,3,0.243,430.0,916.0,-0.36795236706393,-1.2654159815008095,0.36795236706393,1.2654159815008095
AT1,Mid-Atlantic,hoed,4,0.227,447.0,1024.0,-0.24373582328915638,-1.0396634710699404,0.24373582328915638,1.0396634710699404
AT1,Mid-Atlantic,hoed,5,0.233,460.0,940.0,-0.1487467015790354,-1.2152487569606163,0.1487467015790354,1.2152487569606163
AT1,Mid-Atlantic,hood,1,0.138,409.0,1091.0,-0.5213963329033562,-0.8996133025619011,0.5213963329033562,0.8996133025619011
AT1,Mid-Atlantic,hood,2,0.149,436.0,1127.0,-0.3241112339669511,-0.8243624657516114,0.3241112339669511,0.8243624657516114
AT1,Mid-Atlantic,hood,3,0.152,405.0,1157.0,-0.5506237549680087,-0.76165343507637,0.5506237549680087,0.76165343507637
AT1,Mid-Atlantic,hood,4,0.141,406.0,1134.0,-0.5433168994518456,-0.8097303585940551,0.5433168994518456,0.8097303585940551
AT1,Mid-Atlantic,hood,5,0.134,404.0,1163.0,-0.5579306104841719,-0.7491116289413217,0.5579306104841719,0.7491116289413217
AT1,Mid-Atlantic,hud,1,0.159,523.0,1118.0,0.31158519593924316,-0.8431751749541838,-0.31158519593924316,0.8431751749541838
AT1,Mid-Atlantic,hud,2,0.122,530.0,1241.0,0.36273318455238523,-0.5860681491856939,-0.36273318455238523,0.5860681491856939
AT1,Mid-Atlantic,hud,3,0.136,537.0,1177.0,0.4138811731655273,-0.719847414626209,-0.4138811731655273,0.719847414626209
AT1,Mid-Atlantic,hud,4,0.174,538.0,1183.0,0.4211880286816904,-0.7073056084911608,-0.4211880286816904,0.7073056084911608
AT1,Mid-Atlantic,hud,5,0.158,566.0,1173.0,0.6257799831342588,-0.7282086187162412,-0.6257799831342588,0.7282086187162412
AT1,Mid-Atlantic,logs,1,0.199,639.0,1151.0,1.1591804358141689,-0.7741952412114183,-1.1591804358141689,0.7741952412114183
AT1,Mid-Atlantic,logs,2,0.211,600.0,1017.0,0.8742130706838058,-1.0542955782274968,-0.8742130706838058,1.0542955782274968
AT1,Mid-Atlantic,logs,3,0.212,613.0,1087.0,0.9692021923939268,-0.9079745066519334,-0.9692021923939268,0.9079745066519334
AT1,Mid-Atlantic,whod,1,0.225,287.0,1044.0,-1.4128327058752608,-0.9978574506197794,1.4128327058752608,0.9978574506197794
AT1,Mid-Atlantic,whod,2,0.216,298.0,1092.0,-1.332457295197466,-0.8975230015393931,1.332457295197466,0.8975230015393931
AT1,Mid-Atlantic,whod,3,0.256,306.0,999.0,-1.274002451068161,-1.0919209966326415,1.274002451068161,1.0919209966326415
AT1,Mid-Atlantic,whod,4,0.204,314.0,1066.0,-1.2155476069388556,-0.9518708281246023,1.2155476069388556,0.9518708281246023
AT1,Mid-Atlantic,whod,5,0.218,304.0,1024.0,-1.2886161621004872,-1.0396634710699404,1.2886161621004872,1.0396634710699404
AT2,Mid-Atlantic,frogs,1,0.132,656.0,1257.0,0.8910137610388764,-0.7273370555187099,-0.8910137610388764,0.7273370555187099
AT2,Mid-Atlantic,frogs,2,0.15,662.0,1317.0,0.9308674116923725,-0.5988755066045559,-0.9308674116923725,0.5988755066045559
AT2,Mid-Atlantic,frogs,3,0.108,673.0,1240.0,1.0039324378904486,-0.7637344943777201,-1.0039324378904486,0.7637344943777201
AT2,Mid-Atlantic,had,1,0.229,734.0,1587.0,1.4091112195343254,-0.02079853649086316,-1.4091112195343254,0.02079853649086316
AT2,Mid-Atlantic,had,2,0.199,703.0,1708.0,1.203200691157929,0.23826558715268065,-1.203200691157929,-0.23826558715268065
AT2,Mid-Atlantic,had,3,0.238,698.0,1706.0,1.169989315613349,0.23398353552220882,-1.169989315613349,-0.23398353552220882
AT2,Mid-Atlantic,had,4,0.226,685.0,1726.0,1.0836397391974408,0.2768040518269268,-1.0836397391974408,-0.2768040518269268
AT2,Mid-Atlantic,had,5,0.222,717.0,1684.0,1.2961925426827532,0.18688096758701905,-1.2961925426827532,-0.18688096758701905
AT2,Mid-Atlantic,hayed,1,0.214,389.0,2304.0,-0.8824736930416991,1.5143169730332766,0.8824736930416991,-1.5143169730332766
AT2,Mid-Atlantic,hayed,2,0.211,390.0,2320.0,-0.8758314179327831,1.548573386077051,0.8758314179327831,-1.548573386077051
AT2,Mid-Atlantic,hayed,3,0.258,398.0,2221.0,-0.822693217061455,1.336611830368697,0.822693217061455,-1.336611830368697
AT2,Mid-Atlantic,hayed,4,0.243,411.0,2276.0,-0.7363436406455468,1.4543682502066713,0.7363436406455468,-1.4543682502066713
AT2,Mid-Atlantic,hayed,5,0.223,400.0,2350.0,-0.809408666843623,1.612804160534128,0.809408666843623,-1.612804160534128
AT2,Mid-Atlantic,head,1,0.163,570.0,1883.0,0.3197781016720993,0.612945104818963,-0.3197781016720993,-0.612945104818963
AT2,Mid-Atlantic,head,2,0.122,549.0,1798.0,0.180290324384863,0.4309579105239116,-0.180290324384863,-0.4309579105239116
AT2,Mid-Atlantic,head,3,0.162,535.0,1893.0,0.08729847286003882,0.634355362971322,-0.08729847286003882,-0.634355362971322
AT2,Mid-Atlantic,head,4,0.148,556.0,1776.0,0.2267862501472751,0.3838553425887218,-0.2267862501472751,-0.3838553425887218
AT2,Mid-Atlantic,head,5,0.147,587.0,1844.0,0.4326967785236715,0.5294450980247629,-0.4326967785236715,-0.5294450980247629
AT2,Mid-Atlantic,heed,1,0.217,228.0,2541.0,-1.9518799855771773,2.0217400912441845,1.9518799855771773,-2.0217400912441845
AT2,Mid-Atlantic,heed,2,0.183,295.0,2482.0,-1.5068475532798045,1.8954195681452666,1.5068475532798045,-1.8954195681452666
AT2,Mid-Atlantic,heed,3,0.2,263.0,2537.0,-1.7194003567651168,2.013175987983241,1.7194003567651168,-2.013175987983241
AT2,Mid-Atlantic,heed,4,0.246,283.0,2459.0,-1.5865548545867965,1.846175974394841,1.5865548545867965,-1.846175974394841
AT2,Mid-Atlantic,heed,5,0.227,249.0,2501.0,-1.812392208289941,1.9360990586347486,1.812392208289941,-1.9360990586347486
AT2,Mid-Atlantic,hid,1,0.137,449.0,1994.0,-0.48393718650673834,0.8505989703101478,0.48393718650673834,-0.8505989703101478
AT2,Mid-Atlantic,hid,2,0.132,470.0,1964.0,-0.34444940921950207,0.7863681958530708,0.34444940921950207,-0.7863681958530708
AT2,Mid-Atlantic,hid,3,0.135,468.0,1934.0,-0.35773395943733405,0.7221374213959938,0.35773395943733405,-0.7221374213959938
AT2,Mid-Atlantic,hid,4,0.148,480.0,1971.0,-0.27802665813034194,0.8013553765597221,0.27802665813034194,-0.8013553765597221
AT2,Mid-Atlantic,hid,5,0.146,442.0,1974.0,-0.5304331122691505,0.8077784540054298,0.5304331122691505,-0.8077784540054298
AT2,Mid-Atlantic,hod,1,0.196,795.0,1299.0,1.8142900011782022,-0.6374139712788021,-1.8142900011782022,0.6374139712788021
AT2,Mid-Atlantic,hod,2,0.211,764.0,1320.0,1.608379472801806,-0.5924524291588482,-1.608379472801806,0.5924524291588482
AT2,Mid-Atlantic,hod,3,0.264,756.0,1357.0,1.5552412719304778,-0.51323447399512,-1.5552412719304778,0.51323447399512
AT2,Mid-Atlantic,hod,4,0.205,739.0,1365.0,1.4423225950789056,-0.4961062674732328,-1.4423225950789056,0.4961062674732328
AT2,Mid-Atlantic,hod,5,0.213,771.0,1359.0,1.654875398564218,-0.5089524223646482,-1.654875398564218,0.5089524223646482
AT2,Mid-Atlantic,hoed,1,0.248,407.0,1007.0,-0.7629127410812109,-1.2625935093276845,0.7629127410812109,1.2625935093276845
AT2,Mid-Atlantic,hoed,2,0.248,445.0,1074.0,-0.5105062869424024,-1.1191447797068794,0.5105062869424024,1.1191447797068794
AT2,Mid-Atlantic,hoed,3,0.258,466.0,1071.0,-0.3710185096551661,-1.1255678571525871,0.3710185096551661,1.1255678571525871
AT2,Mid-Atlantic,hoed,4,0.217,480.0,1113.0,-0.27802665813034194,-1.0356447729126794,0.27802665813034194,1.0356447729126794
AT2,Mid-Atlantic,hoed,5,0.251,450.0,1085.0,-0.4772949113978223,-1.0955934957392846,0.4772949113978223,1.0955934957392846
AT2,Mid-Atlantic,hood,1,0.139,482.0,1284.0,-0.2647421079125099,-0.6695293585073406,0.2647421079125099,0.6695293585073406
AT2,Mid-Atlantic,hood,2,0.156,498.0,1351.0,-0.15846570616985367,-0.5260806288865354,0.15846570616985367,0.5260806288865354
AT2,Mid-Atlantic,hood,3,0.128,510.0,1390.0,-0.07875840486286152,-0.4425806220923353,0.07875840486286152,0.4425806220923353
AT2,Mid-Atlantic,hood,4,0.152,500.0,1323.0,-0.14518115595202166,-0.5860293517131405,0.14518115595202166,0.5860293517131405
AT2,Mid-Atlantic,hood,5,0.151,512.0,1358.0,-0.06547385464502949,-0.5110934481798841,0.06547385464502949,0.5110934481798841
AT2,Mid-Atlantic,hud,1,0.127,583.0,1231.0,0.4061276780880074,-0.7830037267148433,-0.4061276780880074,0.7830037267148433
AT2,Mid-Atlantic,hud,2,0.158,584.0,1281.0,0.41276995319692344,-0.6759524359530483,-0.41276995319692344,0.6759524359530483
AT2,Mid-Atlantic,hud,3,0.176,605.0,1188.0,0.5522577304841597,-0.8750678367699869,-0.5522577304841597,0.8750678367699869
AT2,Mid-Atlantic,hud,4,0.148,585.0,1176.0,0.41941222830583946,-0.9007601465528177,-0.41941222830583946,0.9007601465528177
AT2,Mid-Atlantic,hud,5,0.162,604.0,1225.0,0.5456154553752437,-0.7958498816062587,-0.5456154553752437,0.7958498816062587
AT2,Mid-Atlantic,logs,1,0.19,742.0,1247.0,1.4622494204056535,-0.7487473136710688,-1.4622494204056535,0.7487473136710688
AT2,Mid-Atlantic,logs,2,0.099,670.0,1185.0,0.9840056125637006,-0.8814909142156946,-0.9840056125637006,0.8814909142156946
AT2,Mid-Atlantic,logs,3,0.069,616.0,1070.0,0.6253227566822359,-1.127708882967823,-0.6253227566822359,1.127708882967823
AT2,Mid-Atlantic,whod,1,0.184,308.0,1153.0,-1.4204979768638961,-0.9500037403032434,1.4204979768638961,0.9500037403032434
AT2,Mid-Atlantic,whod,2,0.204,354.0,1120.0,-1.1149533218537595,-1.0206575922060281,1.1149533218537595,1.0206575922060281
AT2,Mid-Atlantic,whod,3,0.211,353.0,1188.0,-1.1215955969626756,-0.8750678367699869,1.1215955969626756,0.8750678367699869
AT2,Mid-Atlantic,whod,4,0.207,344.0,1171.0,-1.1813760729429197,-0.9114652756289972,1.1813760729429197,0.9114652756289972
AT2,Mid-Atlantic,whod,5,0.192,361.0,1178.0,-1.0684573960913475,-0.8964780949223459,1.0684573960913475,0.8964780949223459
AT3,Mid-Atlantic,frogs,1,0.187,580.0,1277.0,0.8956343809294494,-0.6361438020767961,-0.8956343809294494,0.6361438020767961
AT3,Mid-Atlantic,frogs,2,0.195,611.0,1232.0,1.1670292640318274,-0.7474844314165326,-1.1670292640318274,0.7474844314165326
AT3,Mid-Atlantic,frogs,3,0.195,595.0,1311.0,1.0269544856564063,-0.5520197710201064,-1.0269544856564063,0.5520197710201064
AT3,Mid-Atlantic,had,1,0.174,608.0,1632.0,1.140765243086436,0.24221005160334733,-1.140765243086436,-0.24221005160334733
AT3,Mid-Atlantic,had,2,0.208,689.0,1932.0,1.8498938086120043,0.9844809138682573,-1.8498938086120043,-0.9844809138682573
AT3,Mid-Atlantic,had,3,0.212,566.0,1675.0,0.773068949850956,0.3486022085279844,-0.773068949850956,-0.3486022085279844
AT3,Mid-Atlantic,had,4,0.226,631.0,1706.0,1.3421227370011035,0.4253035309620251,-1.3421227370011035,-0.4253035309620251
AT3,Mid-Atlantic,had,5,0.192,595.0,1634.0,1.0269544856564063,0.24715852401844673,-1.0269544856564063,-0.24715852401844673
AT3,Mid-Atlantic,hayed,1,0.198,424.0,2140.0,-0.47009470823090466,1.499122045038595,0.47009470823090466,-1.499122045038595
AT3,Mid-Atlantic,hayed,2,0.223,399.0,2047.0,-0.6889615494424999,1.2690180777364728,0.6889615494424999,-1.2690180777364728
AT3,Mid-Atlantic,hayed,3,0.205,391.0,2017.0,-0.7589989386302103,1.1947909915099817,0.7589989386302103,-1.1947909915099817
AT3,Mid-Atlantic,hayed,4,0.218,386.0,2032.0,-0.8027723068725293,1.2319045346232274,0.8027723068725293,-1.2319045346232274
AT3,Mid-Atlantic,hayed,5,0.213,417.0,2116.0,-0.5313774237701513,1.4397403760574021,0.5313774237701513,-1.4397403760574021
AT3,Mid-Atlantic,head,1,0.14,525.0,1674.0,0.4141273302639399,0.34612797232043474,-0.4141273302639399,-0.34612797232043474
AT3,Mid-Atlantic,head,2,0.172,525.0,1725.0,0.4141273302639399,0.4723140189054694,-0.4141273302639399,-0.4723140189054694
AT3,Mid-Atlantic,head,3,0.173,498.0,1673.0,0.1777511417554171,0.343653736112885,-0.1777511417554171,-0.343653736112885
AT3,Mid-Atlantic,head,4,0.163,509.0,1663.0,0.27405255188851896,0.318911374037388,-0.27405255188851896,-0.318911374037388
AT3,Mid-Atlantic,head,5,0.171,522.0,1880.0,0.38786330931854845,0.8558206310756729,-0.38786330931854845,-0.8558206310756729
AT3,Mid-Atlantic,heed,1,0.192,258.0,2324.0,-1.9233705338758968,1.9543815072277395,1.9233705338758968,-1.9543815072277395
AT3,Mid-Atlantic,heed,2,0.199,279.0,2237.0,-1.7395223872581569,1.7391229571709157,1.7395223872581569,-1.7391229571709157
AT3,Mid-Atlantic,heed,3,0.164,267.0,2533.0,-1.8445784710397224,2.4714968746056267,1.8445784710397224,-2.4714968746056267
AT3,Mid-Atlantic,heed,4,0.184,291.0,2237.0,-1.6344663034765912,1.7391229571709157,1.6344663034765912,-1.7391229571709157
AT3,Mid-Atlantic,heed,5,0.185,296.0,2211.0,-1.590692935234272,1.6747928157746235,1.590692935234272,-1.6747928157746235
AT3,Mid-Atlantic,hid,1,0.134,416.0,2002.0,-0.5401320974186151,1.1576774483967363,0.5401320974186151,-1.1576774483967363
AT3,Mid-Atlantic,hid,2,0.166,421.0,1873.0,-0.4963587291762961,0.8385009776228249,0.4963587291762961,-0.8385009776228249
AT3,Mid-Atlantic,hid,3,0.158,423.0,1816.0,-0.4788493818793685,0.6974695137924921,0.4788493818793685,-0.6974695137924921
AT3,Mid-Atlantic,hid,4,0.146,431.0,1900.0,-0.408811992691658,0.9053053552266669,0.408811992691658,-0.9053053552266669
AT3,Mid-Atlantic,hid,5,0.182,424.0,1860.0,-0.47009470823090466,0.8063359069246789,0.47009470823090466,-0.8063359069246789
AT3,Mid-Atlantic,hod,1,0.224,643.0,1071.0,1.4471788207826692,-1.1458364608320344,-1.4471788207826692,1.1458364608320344
AT3,Mid-Atlantic,hod,2,0.205,626.0,1214.0,1.2983493687587844,-0.7920206831524272,-1.2983493687587844,0.7920206831524272
AT3,Mid-Atlantic,hod,3,0.222,632.0,1170.0,1.3508774106495673,-0.900887076284614,-1.3508774106495673,0.900887076284614
AT3,Mid-Atlantic,hod,4,0.215,638.0,1182.0,1.40340545254035,-0.8711962417940176,-1.40340545254035,0.8711962417940176
AT3,Mid-Atlantic,hod,5,0.228,644.0,1184.0,1.455933494431133,-0.8662477693789182,-1.455933494431133,0.8662477693789182
AT3,Mid-Atlantic,hoed,1,0.207,430.0,1066.0,-0.41756666634012185,-1.1582076418697829,0.41756666634012185,1.1582076418697829
AT3,Mid-Atlantic,hoed,2,0.211,432.0,1192.0,-0.4000573190431942,-0.8464538797185206,0.4000573190431942,0.8464538797185206
AT3,Mid-Atlantic,hoed,3,0.237,427.0,1095.0,-0.4438306872855132,-1.0864547918508416,0.4438306872855132,1.0864547918508416
AT3,Mid-Atlantic,hoed,4,0.202,460.0,1073.0,-0.1549264568862076,-1.140887988416935,0.1549264568862076,1.140887988416935
AT3,Mid-Atlantic,hoed,5,0.236,443.0,1120.0,-0.30375590891009235,-1.024598886662099,0.30375590891009235,1.024598886662099
AT3,Mid-Atlantic,hood,1,0.15,463.0,1246.0,-0.12866243594081617,-0.7128451245108368,0.12866243594081617,0.7128451245108368
AT3,Mid-Atlantic,hood,2,0.149,433.0,1319.0,-0.3913026453947304,-0.5322258813597087,0.3913026453947304,0.5322258813597087
AT3,Mid-Atlantic,hood,3,0.161,448.0,1244.0,-0.25998254066777327,-0.7177935969259363,0.25998254066777327,0.7177935969259363
AT3,Mid-Atlantic,hood,4,0.156,453.0,1238.0,-0.21620917242545426,-0.7326390141712344,0.21620917242545426,0.7326390141712344
AT3,Mid-Atlantic,hood,5,0.147,445.0,1211.0,-0.2862465616131647,-0.7994433917750763,0.2862465616131647,0.7994433917750763
AT3,Mid-Atlantic,hud,1,0.167,569.0,1185.0,0.7993329707963475,-0.8637735331713685,-0.7993329707963475,0.8637735331713685
AT3,Mid-Atlantic,hud,2,0.159,525.0,1367.0,0.4141273302639399,-0.41346254339732313,-0.4141273302639399,0.41346254339732313
AT3,Mid-Atlantic,hud,3,0.139,502.0,1240.0,0.21276983634927232,-0.727690541756135,-0.21276983634927232,0.727690541756135
AT3,Mid-Atlantic,hud,4,0.16,524.0,1270.0,0.4053726566154761,-0.653463455529644,-0.4053726566154761,0.653463455529644
AT3,Mid-Atlantic,hud,5,0.156,484.0,1290.0,0.05518571067692379,-0.60397873137865,-0.05518571067692379,0.60397873137865
AT3,Mid-Atlantic,logs,1,0.19,616.0,1180.0,1.2108026322741463,-0.876144714209117,-1.2108026322741463,0.876144714209117
AT3,Mid-Atlantic,logs,2,0.192,596.0,1157.0,1.0357091593048702,-0.9330521469827601,-1.0357091593048702,0.9330521469827601
AT3,Mid-Atlantic,logs,3,0.193,676.0,1339.0,1.736083051181975,-0.48274115720871474,-1.736083051181975,0.48274115720871474
AT3,Mid-Atlantic,whod,1,0.192,329.0,1252.0,-1.3017887048349663,-0.6979997072655386,1.3017887048349663,0.6979997072655386
AT3,Mid-Atlantic,whod,2,0.184,332.0,1240.0,-1.275524683889575,-0.727690541756135,1.275524683889575,0.727690541756135
AT3,Mid-Atlantic,whod,3,0.206,333.0,1108.0,-1.2667700102411112,-1.0542897211526954,1.2667700102411112,1.0542897211526954
AT3,Mid-Atlantic,whod,4,0.169,327.0,1140.0,-1.319298052131894,-0.975114162511105,1.319298052131894,0.975114162511105
AT3,Mid-Atlantic,whod,5,0.171,344.0,1158.0,-1.1704686001080093,-0.9305779107752103,1.1704686001080093,0.9305779107752103
AT5,Mid-Atlantic,frogs,1,0.147,563.0,1050.0,0.505202689306248,-0.9073960122466045,-0.505202689306248,0.9073960122466045
AT5,Mid-Atlantic,frogs,2,0.102,588.0,1204.0,0.7006249330206993,-0.5107649879184697,-0.7006249330206993,0.5107649879184697
AT5,Mid-Atlantic,frogs,3,0.145,619.0,1096.0,0.9429485152266188,-0.7889218101745642,-0.9429485152266188,0.7889218101745642
AT5,Mid-Atlantic,had,1,0.193,656.0,1583.0,1.2321734359240066,0.46535941610986187,-1.2321734359240066,-0.46535941610986187
AT5,Mid-Atlantic,had,2,0.181,677.0,1545.0,1.3963281206441458,0.36748942309382865,-1.3963281206441458,-0.36748942309382865
AT5,Mid-Atlantic,had,3,0.219,677.0,1571.0,1.3963281206441458,0.4344531025258514,-1.3963281206441458,-0.4344531025258514
AT5,Mid-Atlantic,had,4,0.166,626.0,1570.0,0.9976667434666652,0.4318775763938505,-0.9976667434666652,-0.4318775763938505
AT5,Mid-Atlantic,had,5,0.202,666.0,1545.0,1.3103423334097872,0.36748942309382865,-1.3103423334097872,-0.36748942309382865
AT5,Mid-Atlantic,hayed,1,0.244,349.0,2000.0,-1.1676117168894549,1.5393538131542268,1.1676117168894549,-1.5393538131542268
AT5,Mid-Atlantic,hayed,2,0.182,377.0,1923.0,-0.9487388039292693,1.3410383009901594,0.9487388039292693,-1.3410383009901594
AT5,Mid-Atlantic,hayed,3,0.185,378.0,1961.0,-0.9409219141806913,1.4389082940061926,0.9409219141806913,-1.4389082940061926
AT5,Mid-Atlantic,hayed,4,0.205,385.0,1932.0,-0.8862036859406449,1.3642180361781673,0.8862036859406449,-1.3642180361781673
AT5,Mid-Atlantic,hayed,5,0.22,365.0,1988.0,-1.042541480912206,1.5084474995702162,1.042541480912206,-1.5084474995702162
AT5,Mid-Atlantic,head,2,0.133,574.0,1666.0,0.5911884765406066,0.6791280850659345,-0.5911884765406066,-0.6791280850659345
AT5,Mid-Atlantic,head,3,0.153,546.0,1662.0,0.3723155635804211,0.668825980537931,-0.3723155635804211,-0.668825980537931
AT5,Mid-Atlantic,head,4,0.136,556.0,1568.0,0.4504844610662016,0.42672652412984874,-0.4504844610662016,-0.42672652412984874
AT5,Mid-Atlantic,head,5,0.119,536.0,1667.0,0.29414666609464063,0.6817036111979354,-0.29414666609464063,-0.6817036111979354
AT5,Mid-Atlantic,heed,1,0.152,318.0,2059.0,-1.4099352990953744,1.6913098549422785,1.4099352990953744,-1.6913098549422785
AT5,Mid-Atlantic,heed,2,0.173,316.0,2113.0,-1.4255690785925303,1.8303882660703257,1.4255690785925303,-1.8303882660703257
AT5,Mid-Atlantic,heed,3,0.199,307.0,2046.0,-1.495921086329733,1.657828015226267,1.495921086329733,-1.657828015226267
AT5,Mid-Atlantic,heed,4,0.133,296.0,2051.0,-1.5819068735640915,1.6707056458862715,1.5819068735640915,-1.6707056458862715
AT5,Mid-Atlantic,heed,5,0.17,299.0,2016.0,-1.5584562043183572,1.5805622312662408,1.5584562043183572,-1.5805622312662408
AT5,Mid-Atlantic,hid,1,0.17,445.0,1667.0,-0.41719030102596194,0.6817036111979354,0.41719030102596194,-0.6817036111979354
AT5,Mid-Atlantic,hid,2,0.148,400.0,1762.0,-0.7689503397119742,0.9263785937380185,0.7689503397119742,-0.9263785937380185
AT5,Mid-Atlantic,hid,3,0.147,406.0,1792.0,-0.7220490012205059,1.0036443776980448,0.7220490012205059,-1.0036443776980448
AT5,Mid-Atlantic,hid,4,0.125,418.0,1793.0,-0.6282463242375693,1.0062199038300457,0.6282463242375693,-1.0062199038300457
AT5,Mid-Atlantic,hid,5,0.136,408.0,1799.0,-0.7064152217233498,1.021673060622051,0.7064152217233498,-1.021673060622051
AT5,Mid-Atlantic,hod,1,0.208,686.0,1137.0,1.4666801283813482,-0.6833252387625284,-1.4666801283813482,0.6833252387625284
AT5,Mid-Atlantic,hod,2,0.174,646.0,1147.0,1.1540045384382263,-0.6575699774425195,-1.1540045384382263,0.6575699774425195
AT5,Mid-Atlantic,hod,3,0.183,708.0,1154.0,1.6386517028500653,-0.6395412945185135,-1.6386517028500653,0.6395412945185135
AT5,Mid-Atlantic,hod,4,0.154,691.0,1185.0,1.5057645771242385,-0.5596999844264864,-1.5057645771242385,0.5596999844264864
AT5,Mid-Atlantic,hod,5,0.192,673.0,1222.0,1.3650605616498335,-0.46440551754245396,-1.3650605616498335,0.46440551754245396
